"gisds_case_reference","gisds_open_date","gisds_close_date","gisds_handler","gisds_case_category","gisds_severity_band","gisds_claimant","gisds_status","gisds_location","original_source","dq_case_id_status","dq_status_status","dq_category_mapping","dq_severity_mapping","picklist_case_type_flag","picklist_status_flag"
"case_id","open_date","close_date","fee_earner","OTHER",NULL,"client_name","claim_status","region","cms_app_a","OK","OK","UNMAPPED_CASE_CATEGORY","MISSING_SEVERITY","OK","OK"
"1","2023-01-01","2023-06-01","Patel","PUBLIC LIABILITY","LOW","ClientC","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"2","2023-01-02","2023-06-02","Jones","EMPLOYERS LIABILITY","HIGH","ClientD","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"3","2023-01-03","2023-06-03","Brown","PUBLIC LIABILITY","MEDIUM","ClientB","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"4","2023-01-04","2023-06-04","Smith","MOTOR","LOW","ClientA","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"5","2023-01-05","2023-06-05","Smith","MOTOR","MEDIUM","ClientC","open","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"6","2023-01-06","2023-06-06","Brown","MOTOR","MEDIUM","ClientB","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"7","2023-01-07","2023-06-07","Brown","MOTOR","MEDIUM","ClientB","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"8","2023-01-08","2023-06-08","Jones","EMPLOYERS LIABILITY","HIGH","ClientD","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"9","2023-01-09","2023-06-09","Brown","MOTOR","HIGH","ClientD","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"10","2023-01-10","2023-06-10","Brown","EMPLOYERS LIABILITY","HIGH","ClientB","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"11","2023-01-11","2023-06-11","Smith","EMPLOYERS LIABILITY","HIGH","ClientB","open","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"12","2023-01-12","2023-06-12","Patel","EMPLOYERS LIABILITY","MEDIUM","ClientB","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"13","2023-01-13","2023-06-13","Jones","EMPLOYERS LIABILITY","MEDIUM","ClientB","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"14","2023-01-14","2023-06-14","Brown","PUBLIC LIABILITY","MEDIUM","ClientD","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"15","2023-01-15","2023-06-15","Jones","PUBLIC LIABILITY","HIGH","ClientA","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"16","2023-01-16","2023-06-16","Jones","EMPLOYERS LIABILITY","MEDIUM","ClientC","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"17","2023-01-17","2023-06-17","Brown","MOTOR","HIGH","ClientC","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"18","2023-01-18","2023-06-18","Jones","PUBLIC LIABILITY","LOW","ClientD","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"19","2023-01-19","2023-06-19","Smith","MOTOR","HIGH","ClientB","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"20","2023-01-20","2023-06-20","Jones","EMPLOYERS LIABILITY","MEDIUM","ClientD","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"21","2023-01-21","2023-06-21","Patel","MOTOR","HIGH","ClientC","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"22","2023-01-22","2023-06-22","Brown","PUBLIC LIABILITY","HIGH","ClientD","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"23","2023-01-23","2023-06-23","Brown","PUBLIC LIABILITY","MEDIUM","ClientD","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"24","2023-01-24","2023-06-24","Patel","EMPLOYERS LIABILITY","LOW","ClientA","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"25","2023-01-25","2023-06-25","Brown","PUBLIC LIABILITY","LOW","ClientA","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"26","2023-01-26","2023-06-26","Patel","EMPLOYERS LIABILITY","MEDIUM","ClientB","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"27","2023-01-27","2023-06-27","Jones","MOTOR","MEDIUM","ClientB","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"28","2023-01-28","2023-06-28","Smith","MOTOR","MEDIUM","ClientB","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"29","2023-01-29","2023-06-29","Smith","MOTOR","MEDIUM","ClientB","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"30","2023-01-30","2023-06-30","Brown","MOTOR","MEDIUM","ClientC","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"31","2023-01-31","2023-07-01","Patel","MOTOR","HIGH","ClientC","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"32","2023-02-01","2023-07-02","Patel","EMPLOYERS LIABILITY","LOW","ClientA","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"33","2023-02-02","2023-07-03","Smith","PUBLIC LIABILITY","LOW","ClientA","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"34","2023-02-03","2023-07-04","Brown","MOTOR","MEDIUM","ClientD","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"35","2023-02-04","2023-07-05","Jones","MOTOR","MEDIUM","ClientC","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"36","2023-02-05","2023-07-06","Patel","MOTOR","HIGH","ClientD","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"37","2023-02-06","2023-07-07","Brown","EMPLOYERS LIABILITY","LOW","ClientA","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"38","2023-02-07","2023-07-08","Jones","PUBLIC LIABILITY","LOW","ClientC","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"39","2023-02-08","2023-07-09","Smith","MOTOR","HIGH","ClientC","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"40","2023-02-09","2023-07-10","Smith","EMPLOYERS LIABILITY","LOW","ClientC","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"41","2023-02-10","2023-07-11","Jones","MOTOR","HIGH","ClientC","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"42","2023-02-11","2023-07-12","Brown","PUBLIC LIABILITY","LOW","ClientD","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"43","2023-02-12","2023-07-13","Patel","EMPLOYERS LIABILITY","LOW","ClientD","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"44","2023-02-13","2023-07-14","Brown","PUBLIC LIABILITY","MEDIUM","ClientA","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"45","2023-02-14","2023-07-15","Smith","EMPLOYERS LIABILITY","MEDIUM","ClientC","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"46","2023-02-15","2023-07-16","Smith","PUBLIC LIABILITY","MEDIUM","ClientD","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"47","2023-02-16","2023-07-17","Smith","MOTOR","LOW","ClientB","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"48","2023-02-17","2023-07-18","Brown","EMPLOYERS LIABILITY","LOW","ClientD","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"49","2023-02-18","2023-07-19","Smith","PUBLIC LIABILITY","MEDIUM","ClientC","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"50","2023-02-19","2023-07-20","Patel","EMPLOYERS LIABILITY","HIGH","ClientB","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"51","2023-02-20","2023-07-21","Brown","PUBLIC LIABILITY","HIGH","ClientD","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"52","2023-02-21","2023-07-22","Patel","EMPLOYERS LIABILITY","LOW","ClientD","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"53","2023-02-22","2023-07-23","Brown","MOTOR","MEDIUM","ClientA","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"54","2023-02-23","2023-07-24","Brown","PUBLIC LIABILITY","HIGH","ClientB","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"55","2023-02-24","2023-07-25","Brown","EMPLOYERS LIABILITY","HIGH","ClientA","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"56","2023-02-25","2023-07-26","Smith","PUBLIC LIABILITY","MEDIUM","ClientD","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"57","2023-02-26","2023-07-27","Smith","MOTOR","MEDIUM","ClientB","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"58","2023-02-27","2023-07-28","Patel","PUBLIC LIABILITY","HIGH","ClientB","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"59","2023-02-28","2023-07-29","Jones","PUBLIC LIABILITY","MEDIUM","ClientB","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"60","2023-03-01","2023-07-30","Smith","MOTOR","MEDIUM","ClientD","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"61","2023-03-02","2023-07-31","Jones","EMPLOYERS LIABILITY","HIGH","ClientC","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"62","2023-03-03","2023-08-01","Patel","MOTOR","HIGH","ClientC","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"63","2023-03-04","2023-08-02","Brown","MOTOR","MEDIUM","ClientB","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"64","2023-03-05","2023-08-03","Smith","PUBLIC LIABILITY","HIGH","ClientD","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"65","2023-03-06","2023-08-04","Jones","MOTOR","LOW","ClientB","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"66","2023-03-07","2023-08-05","Patel","PUBLIC LIABILITY","LOW","ClientD","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"67","2023-03-08","2023-08-06","Brown","EMPLOYERS LIABILITY","LOW","ClientA","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"68","2023-03-09","2023-08-07","Jones","PUBLIC LIABILITY","MEDIUM","ClientA","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"69","2023-03-10","2023-08-08","Patel","PUBLIC LIABILITY","MEDIUM","ClientC","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"70","2023-03-11","2023-08-09","Brown","EMPLOYERS LIABILITY","MEDIUM","ClientC","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"71","2023-03-12","2023-08-10","Jones","PUBLIC LIABILITY","MEDIUM","ClientC","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"72","2023-03-13","2023-08-11","Patel","MOTOR","HIGH","ClientA","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"73","2023-03-14","2023-08-12","Patel","EMPLOYERS LIABILITY","LOW","ClientB","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"74","2023-03-15","2023-08-13","Smith","EMPLOYERS LIABILITY","HIGH","ClientC","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"75","2023-03-16","2023-08-14","Patel","MOTOR","HIGH","ClientD","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"76","2023-03-17","2023-08-15","Patel","PUBLIC LIABILITY","MEDIUM","ClientB","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"77","2023-03-18","2023-08-16","Brown","MOTOR","LOW","ClientC","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"78","2023-03-19","2023-08-17","Patel","PUBLIC LIABILITY","HIGH","ClientC","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"79","2023-03-20","2023-08-18","Patel","EMPLOYERS LIABILITY","LOW","ClientA","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"80","2023-03-21","2023-08-19","Brown","EMPLOYERS LIABILITY","HIGH","ClientC","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"81","2023-03-22","2023-08-20","Smith","PUBLIC LIABILITY","HIGH","ClientC","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"82","2023-03-23","2023-08-21","Brown","MOTOR","HIGH","ClientB","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"83","2023-03-24","2023-08-22","Smith","PUBLIC LIABILITY","MEDIUM","ClientD","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"84","2023-03-25","2023-08-23","Patel","EMPLOYERS LIABILITY","LOW","ClientA","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"85","2023-03-26","2023-08-24","Brown","EMPLOYERS LIABILITY","HIGH","ClientB","open","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"86","2023-03-27","2023-08-25","Patel","PUBLIC LIABILITY","HIGH","ClientB","open","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"87","2023-03-28","2023-08-26","Patel","EMPLOYERS LIABILITY","HIGH","ClientC","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"88","2023-03-29","2023-08-27","Patel","PUBLIC LIABILITY","MEDIUM","ClientA","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"89","2023-03-30","2023-08-28","Smith","PUBLIC LIABILITY","LOW","ClientB","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"90","2023-03-31","2023-08-29","Smith","EMPLOYERS LIABILITY","LOW","ClientC","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"91","2023-04-01","2023-08-30","Smith","PUBLIC LIABILITY","HIGH","ClientC","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"92","2023-04-02","2023-08-31","Brown","MOTOR","LOW","ClientB","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"93","2023-04-03","2023-09-01","Patel","PUBLIC LIABILITY","HIGH","ClientA","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"94","2023-04-04","2023-09-02","Brown","MOTOR","LOW","ClientB","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"95","2023-04-05","2023-09-03","Jones","PUBLIC LIABILITY","MEDIUM","ClientB","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"96","2023-04-06","2023-09-04","Patel","EMPLOYERS LIABILITY","HIGH","ClientB","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"97","2023-04-07","2023-09-05","Patel","EMPLOYERS LIABILITY","LOW","ClientB","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"98","2023-04-08","2023-09-06","Jones","EMPLOYERS LIABILITY","LOW","ClientD","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"99","2023-04-09","2023-09-07","Brown","MOTOR","HIGH","ClientA","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"100","2023-04-10","2023-09-08","Smith","EMPLOYERS LIABILITY","LOW","ClientC","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"101","2023-04-11","2023-09-09","Patel","EMPLOYERS LIABILITY","LOW","ClientD","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"102","2023-04-12","2023-09-10","Smith","PUBLIC LIABILITY","HIGH","ClientD","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"103","2023-04-13","2023-09-11","Brown","EMPLOYERS LIABILITY","HIGH","ClientD","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"104","2023-04-14","2023-09-12","Smith","MOTOR","HIGH","ClientB","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"105","2023-04-15","2023-09-13","Jones","EMPLOYERS LIABILITY","LOW","ClientD","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"106","2023-04-16","2023-09-14","Smith","MOTOR","MEDIUM","ClientA","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"107","2023-04-17","2023-09-15","Jones","EMPLOYERS LIABILITY","MEDIUM","ClientA","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"108","2023-04-18","2023-09-16","Brown","MOTOR","LOW","ClientC","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"109","2023-04-19","2023-09-17","Jones","EMPLOYERS LIABILITY","MEDIUM","ClientA","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"110","2023-04-20","2023-09-18","Smith","MOTOR","LOW","ClientD","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"111","2023-04-21","2023-09-19","Smith","EMPLOYERS LIABILITY","MEDIUM","ClientC","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"112","2023-04-22","2023-09-20","Jones","PUBLIC LIABILITY","HIGH","ClientD","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"113","2023-04-23","2023-09-21","Smith","MOTOR","MEDIUM","ClientC","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"114","2023-04-24","2023-09-22","Jones","EMPLOYERS LIABILITY","HIGH","ClientB","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"115","2023-04-25","2023-09-23","Smith","MOTOR","LOW","ClientC","open","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"116","2023-04-26","2023-09-24","Jones","MOTOR","HIGH","ClientB","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"117","2023-04-27","2023-09-25","Brown","MOTOR","HIGH","ClientC","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"118","2023-04-28","2023-09-26","Jones","PUBLIC LIABILITY","MEDIUM","ClientD","closed","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"119","2023-04-29","2023-09-27","Brown","MOTOR","HIGH","ClientB","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"120","2023-04-30","2023-09-28","Patel","MOTOR","LOW","ClientB","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"121","2023-05-01","2023-09-29","Patel","EMPLOYERS LIABILITY","LOW","ClientB","open","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"122","2023-05-02","2023-09-30","Jones","EMPLOYERS LIABILITY","HIGH","ClientD","open","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"123","2023-05-03","2023-10-01","Smith","PUBLIC LIABILITY","LOW","ClientD","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"124","2023-05-04","2023-10-02","Patel","PUBLIC LIABILITY","MEDIUM","ClientA","settled","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"125","2023-05-05","2023-10-03","Jones","MOTOR","HIGH","ClientB","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"126","2023-05-06","2023-10-04","Smith","PUBLIC LIABILITY","LOW","ClientD","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"127","2023-05-07","2023-10-05","Brown","EMPLOYERS LIABILITY","MEDIUM","ClientD","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"128","2023-05-08","2023-10-06","Smith","EMPLOYERS LIABILITY","MEDIUM","ClientA","open","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"129","2023-05-09","2023-10-07","Patel","MOTOR","HIGH","ClientC","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"130","2023-05-10","2023-10-08","Jones","PUBLIC LIABILITY","MEDIUM","ClientB","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"131","2023-05-11","2023-10-09","Smith","MOTOR","MEDIUM","ClientA","settled","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"132","2023-05-12","2023-10-10","Brown","EMPLOYERS LIABILITY","MEDIUM","ClientC","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"133","2023-05-13","2023-10-11","Jones","EMPLOYERS LIABILITY","HIGH","ClientC","open","south","cms_app_a","OK","OK","OK","OK","OK","OK"
"134","2023-05-14","2023-10-12","Patel","EMPLOYERS LIABILITY","LOW","ClientD","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"135","2023-05-15","2023-10-13","Jones","MOTOR","MEDIUM","ClientB","closed","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"136","2023-05-16","2023-10-14","Smith","PUBLIC LIABILITY","HIGH","ClientB","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"137","2023-05-17","2023-10-15","Jones","MOTOR","MEDIUM","ClientA","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"138","2023-05-18","2023-10-16","Brown","MOTOR","MEDIUM","ClientB","settled","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"139","2023-05-19","2023-10-17","Smith","MOTOR","MEDIUM","ClientA","settled","north","cms_app_a","OK","OK","OK","OK","OK","OK"
"140","2023-05-20","2023-10-18","Jones","PUBLIC LIABILITY","HIGH","ClientB","closed","west","cms_app_a","OK","OK","OK","OK","OK","OK"
"141","2023-05-21","2023-10-19","Brown","PUBLIC LIABILITY","LOW","ClientA","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
"142","2023-05-22","2023-10-20","Jones","PUBLIC LIABILITY","LOW","ClientB","closed","east","cms_app_a","OK","OK","OK","OK","OK","OK"
